ID,順位,企業評価額(億円),投資額(億円),受賞
DCON2021_5,1,6,1,最優秀賞 / 若手奨励賞 / アイング賞 / KDDI賞
DCON2021_7,2,5,1,ウエスタンデジタル賞 / AGC賞
DCON2021_9,3,4,0.5,
DCON2021_8,4,3,0.3,
DCON2021_6,5,2,0.5,矢崎賞
DCON2021_3,6,1,0.2,
DCON2021_4,7,0.8,0.15,
DCON2021_10,,,,TDK賞
